Species	WP028_5z	WP029_6c	WP030_23	WP031_14	WP033_26	WP034_11	WP035_5c	WP036_2z	WP037_32	WP038_28	WP039_18	WP040_4c	WP041_2c	WP032_9	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Ascocoryne_sp	63.0	43.0	16.0	26.0	10.0	2.0	83.0	28.0	114.0	2.0	2.0	88.0	27.0	0.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Ascocoryne	Ascocoryne_sp	504.0	Undefined Saprotroph	Sap
Cladosporium_herbarum	42.0	114.0	35.0	23.0	33.0	0.0	36.0	28.0	7.0	34.0	34.0	22.0	212.0	23.0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_herbarum	644.0	NA	ENA
Chaetosphaeria_sp	12.0	1.0	24.0	10.0	7.0	40.0	0.0	1.0	2.0	117.0	102.0	18.0	28.0	148.0	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_sp	510.0	Endophyte, Litter Saprotroph, Wood Saprotroph	Sap
Discosia_rubi	0.0	0.0	19.0	5.0	0.0	0.0	0.0	2.0	0.0	16.0	9.0	0.0	58.0	20.0	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Discosiaceae	Discosia	Discosia_rubi	129.0	NA	ENA
Cladosporium_sphaerospermum	17.0	18.0	8.0	5.0	7.0	3.0	9.0	43.0	17.0	7.0	6.0	36.0	9.0	29.0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum	214.0	NA	ENA
GS29_sp	33.0	0.0	0.0	21.0	3.0	0.0	190.0	25.0	7.0	0.0	19.0	35.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	GS29	GS29_fam_Incertae_sedis	GS29_gen_Incertae_sedis	GS29_sp	333.0	NA	ENA
Tausonia_pullulans	97.0	14.0	10.0	16.0	24.0	17.0	47.0	15.0	18.0	70.0	150.0	41.0	110.0	20.0	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans	649.0	NA	ENA
Albophoma_yamanashiensis	0.0	0.0	15.0	47.0	68.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	9.0	21.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Albophoma	Albophoma_yamanashiensis	169.0	NA	ENA
Glutinomyces_sp	0.0	0.0	0.0	8.0	117.0	10.0	0.0	0.0	0.0	10.0	0.0	1.0	2.0	2.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Glutinomyces	Glutinomyces_sp	150.0	Endophyte	Nop
Heterotruncatella_diversa	6.0	3.0	88.0	2.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Heterotruncatella	Heterotruncatella_diversa	111.0	NA	ENA
Rutstroemia_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0	1.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Rutstroemia	Rutstroemia_sp	131.0	Plant Saprotroph	Sap
Linnemannia_gamsii	9.0	0.0	0.0	23.0	11.0	16.0	0.0	0.0	0.0	4.0	152.0	2.0	73.0	8.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_gamsii	298.0	NA	ENA
Cuniculitremaceae_sp	0.0	0.0	4.0	1.0	16.0	68.0	0.0	0.0	0.0	9.0	14.0	0.0	1.0	12.0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Cuniculitremaceae_gen_Incertae_sedis	Cuniculitremaceae_sp	125.0	NA	ENA
Luellia_sp	0.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	25.0	13.0	0.0	152.0	99.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Luellia	Luellia_sp	295.0	Undefined Saprotroph	Sap
Pseudoneoconiothyrium_rosae	13.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Thyridiales	Thyridiaceae	Pseudoneoconiothyrium	Pseudoneoconiothyrium_rosae	143.0	NA	ENA
Oidiodendron_periconioides	41.0	237.0	20.0	31.0	26.0	4.0	5.0	1.0	4.0	0.0	4.0	113.0	34.0	5.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron_periconioides	525.0	Ericoid Mycorrhizal	Myc
Sclerococcales_sp	0.0	0.0	16.0	0.0	15.0	0.0	0.0	0.0	0.0	28.0	5.0	0.0	26.0	8.0	Fungi	Ascomycota	Eurotiomycetes	Sclerococcales	Sclerococcales_fam_Incertae_sedis	Sclerococcales_gen_Incertae_sedis	Sclerococcales_sp	98.0	NA	ENA
Trechispora_sp	0.0	1.0	76.0	6.0	172.0	74.0	0.0	0.0	0.0	42.0	57.0	0.0	10.0	55.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora_sp	493.0	Wood Saprotroph	Sap
Chionosphaeraceae_sp	0.0	1.0	7.0	15.0	4.0	12.0	0.0	0.0	1.0	1.0	150.0	0.0	4.0	27.0	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Chionosphaeraceae_gen_Incertae_sedis	Chionosphaeraceae_sp	222.0	NA	ENA
