cluster name	guilds in cluster	guilds percentiles	cluster colour
cluster_1	ENA_End_Myc_Nop_Pat_Sap	0.731346765381168_0.000448144191928493_0.0137267179883851_0.00479452895748155_0.0476383414981522_0.202045501982885	#FF000066_#FF0000B2
cluster_2	ENA_End_Myc_Nop_Pat_Sap	0.308929133456392_0.00738692911644366_0.254564941858981_0.189392560331408_0.0219957638292262_0.217730671407549	#CCFF0066_#CCFF00B2
cluster_3	Bcn_ENA_Myc_Nop_Pat_Sap	0.00304136569818612_0.409933392008083_0.0528749759138419_0.0130638113936642_0.317403486113353_0.203682968872872	#00FF6666_#00FF66B2
cluster_4	ENA_Sap	0.906051774387108_0.0939482256128922	#0066FF66
cluster_5	ENA_End_Myc_Nop_Pat_Sap	0.532018187846351_0.000860449328218001_0.00119199861065063_0.0658993668987512_0.268057594846777_0.131972402469253	#CC00FF66_#CC00FFB2
